canonical_id,canonical_capability,primary_implementation_phase,integration_verification_phases,removal_phase,release_validation_phase,global_invariant_links,mapping_rationale,reviewer_status,exception_status,previous_capability,previous_primary_phase
CAN-LAM-ARCH-137,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-138,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-139,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-140,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-141,Jobs and notifications,I10,I10;I15,,I15,,Label names progress saving; rewrite adds typed state and no-false-success rules.,REVIEWED_CORRECTED,NONE,Jobs and notifications,I10
CAN-LAM-ARCH-142,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-143,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-144,Metadata,I3,I3;I15,,I15,,"Label names sidecar creation; rewrite adds the exact-set, validation, and journaling outcomes.",REVIEWED_CORRECTED,NONE,Metadata,I3
CAN-LAM-ARCH-145,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-146,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-147,Libraries and storage,I4,I4;I15,,I15,,Label names required storage; rewrite adds the initialization trigger and preservation result.,REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-LAM-ARCH-148,Libraries and storage,I4,I4;I15,,I15,,Label names the keep-linked option; rewrite defines the non-mutating result.,REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-LAM-ARCH-149,Libraries and storage,I4,I4;I15,,I15,,"Label names name normalization; rewrite adds preview, approval, and provenance.",REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-LAM-ARCH-150,Libraries and storage,I4,I4;I15,,I15,,Label names the move option; rewrite adds approval and identity-preservation results.,REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-LAM-ARCH-151,Libraries and storage,I4,I4;I15,,I15,,"Label names the merge option; rewrite adds preview, approval, and preservation.",REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-LAM-ARCH-152,Events and organization,,I4;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-153,Events and organization,,I4;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-154,Events and organization,,I4;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-155,Events and organization,,I4;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-156,Events and organization,,I4;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-157,Events and organization,,I6;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-LAM-ARCH-158,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-159,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-160,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-161,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-162,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-163,Tags,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-164,Tags,I8,I8;I15,,I15,CAN-LAM-ARCH-164,"Reviewed as Tags, Relationships, and Attribution work because the obligation's primary implementation surface is Tags; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CONFIRMED,NONE,Tags,I8
CAN-LAM-ARCH-165,Tags,I8,I8;I15,,I15,,Label names suggestion sources; rewrite adds source provenance and approval gate.,REVIEWED_CORRECTED,NONE,Tags,I8
CAN-LAM-ARCH-166,Review Centre,,I5;I15,,I15,CAN-LAM-ARCH-166,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,I5
CAN-LAM-ARCH-167,Tags,,I8;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Tags,I8
CAN-LAM-ARCH-168,Review Centre,I5,I5;I15,,I15,,Label names individual approval; rewrite scopes the commit to one proposal.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-169,Review Centre,I5,I5;I15,,I15,,Label names bulk approval; rewrite adds exact scope and per-item results.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-170,Review Centre foundation,I5,I5;I15,,I15,,"Statement is already record-specific and observable (reject transition, provenance, fingerprint persistence, no authoritative mutation); it does not reproduce any legacy template output.",REVIEWED_CONFIRMED,NONE,Review Centre foundation,I5
CAN-LAM-ARCH-171,Review Centre,I5,I5;I15,,I15,,Label names rule suppression; rewrite adds rule persistence and future exclusion.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-172,Review Centre,I5,I5;I15,,I15,,Label names defer/reopen; rewrite adds state persistence and restore result.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-173,Review Centre,I5,I5;I15,,I15,,Label names provenance review; rewrite adds the read-only display result.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-174,Tags,,I8;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Tags,I8
CAN-LAM-ARCH-175,Relationships and attribution,,I8;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,People and faces,I8
CAN-LAM-ARCH-176,Metadata,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,
CAN-LAM-ARCH-177,Relationships and attribution,I8,I8;I15,,I15,,Label names the system-capture type rule; rewrite makes classification observable.,REVIEWED_CORRECTED,NONE,Relationships and attribution,I8
CAN-LAM-ARCH-178,Planning and verification governance,,,,I15,,Filename-system rule label; reclassified as a constraint.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-179,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-180,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-181,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-182,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-183,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-184,Local data authority,I3,I4;I15,,I15,,"Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Local data authority; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CORRECTED,NONE,Metadata,I4
CAN-LAM-ARCH-185,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-186,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-187,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-188,Asset viewer,I5,I5;I15,,I15,,Label names conflict warnings; rewrite adds source display and no-mutation.,REVIEWED_CORRECTED,NONE,Asset viewer,I5
CAN-LAM-ARCH-189,Planning and verification governance,,,,I15,,Inspector-capability label; reclassified as a read-only comparison constraint.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-190,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-191,Asset viewer,I5,I5;I15,,I15,,Label names review links; rewrite separates navigation from approval transitions.,REVIEWED_CORRECTED,NONE,Asset viewer,I5
CAN-LAM-ARCH-192,Asset viewer,I5,I3;I15,,I15,,Label names sidecar opening; rewrite adds read-only display.,REVIEWED_CORRECTED,NONE,Asset viewer,I5
CAN-LAM-ARCH-193,Editing,I11,I11;I15,,I15,,"Source section 20.6 Inspector capabilities and legacy Editing/WP-I11-005 evidence identify asset-metadata export, not AI worker data.",REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-194,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-195,Asset viewer,I5,I3;I15,,I15,,Label names sidecar health; rewrite adds typed reporting and no-mutation.,REVIEWED_CORRECTED,NONE,Asset viewer,I5
CAN-LAM-ARCH-196,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-197,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-198,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-199,Relationships and attribution,,I8;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Relationships and attribution,I8
CAN-LAM-ARCH-200,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-201,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-202,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-203,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-204,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-205,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-206,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-207,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-208,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-209,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-210,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-211,Metadata,,I3;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Metadata,I3
CAN-LAM-ARCH-212,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-213,Local AI worker,I10,I10;I15,,I15,,Label names object/content suggestions; rewrite adds provenance and approval gate.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-214,Search and OCR,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-215,Map and location,I10,I5;I15,,I15,,Label names location suggestions; rewrite adds reviewability and approval gate.,REVIEWED_CORRECTED,NONE,Map and location,I10
CAN-LAM-ARCH-216,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-217,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-218,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-219,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-220,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-221,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-222,Local AI worker,I10,I10;I15,,I15,,Hardware-metric label; rewrite adds detection and recording results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-223,Jobs and notifications,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Jobs and notifications,I10
CAN-LAM-ARCH-224,Duplicates,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-225,Duplicates,,I10;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-226,Planning and verification governance,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-227,Planning and verification governance,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-228,Search and OCR,I10,I10;I15,,I15,,Label names semantic embeddings under AI data control; rewrite adds export/delete/rebuild results.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-ARCH-229,Local AI worker,I10,I10;I15,,I15,,Label names object suggestions under AI data control; rewrite adds export/delete results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-230,Local AI worker,I10,I10;I15,,I15,,Label names all AI-derived data; rewrite adds full control and rebuild results.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-ARCH-231,Albums and favorites,I5,I5;I15,,I15,,Album label; rewrite adds persistence and no-duplication.,REVIEWED_CORRECTED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-232,Albums and favorites,I5,I5;I15,,I15,,Album label; rewrite adds storage and display.,REVIEWED_CORRECTED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-233,Albums and favorites,I5,I5;I15,,I15,,Album label; rewrite adds persistence and application.,REVIEWED_CORRECTED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-234,Albums and favorites,I5,I5;I15,,I15,,Album label; rewrite adds the no-duplication invariant.,REVIEWED_CORRECTED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-235,Gallery and timeline,I5,I5;I15,,I15,,Favorites label; rewrite adds persistence and reflection.,REVIEWED_CORRECTED,NONE,Gallery and timeline,I5
CAN-LAM-ARCH-236,Gallery and timeline,I5,I5;I15,,I15,,Favorites label; rewrite adds view scope.,REVIEWED_CORRECTED,NONE,Gallery and timeline,I5
CAN-LAM-ARCH-237,Metadata,I5,I3;I15,,I15,,Favorites label; rewrite adds local storage.,REVIEWED_CORRECTED,NONE,Metadata,I5
CAN-LAM-ARCH-238,Memories,I5,I5;I15,,I15,,Memories label; rewrite adds derivation.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-239,Memories,I5,I5;I15,,I15,,Memories label; rewrite adds derivation.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-240,Memories,I5,I5;I15,,I15,,Memories label; rewrite adds derivation.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-241,Albums and favorites,I5,I5;I15,,I15,,Memories label; rewrite adds derivation.,REVIEWED_CORRECTED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-242,Memories,I5,I5;I15,,I15,,Memories label; rewrite adds exclusion.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-243,Memories,I5,I5;I15,,I15,,Memories label; rewrite adds local-only generation.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-244,Map and location,I5,I5;I15,,I15,,Label names venue display; rewrite adds derivation and source display.,REVIEWED_CORRECTED,NONE,Map and location,I5
CAN-LAM-ARCH-245,Map and location,I5,I5;I15,,I15,,Label names map browsing; rewrite adds local rendering and stability.,REVIEWED_CORRECTED,NONE,Map and location,I5
CAN-LAM-ARCH-246,Map and location,I5,I5;I15,,I15,,Label names location-conflict review; rewrite adds source display and no-mutation.,REVIEWED_CORRECTED,NONE,Map and location,I5
CAN-LAM-ARCH-247,Map and location,I5,I5;I15,,I15,,Label names optional map disabling; rewrite adds the disabled-state result.,REVIEWED_CORRECTED,NONE,Map and location,I5
CAN-LAM-ARCH-248,Map and location,I5,I5;I15,,I15,,Label names offline coordinate display; rewrite adds local-only display.,REVIEWED_CORRECTED,NONE,Map and location,I5
CAN-LAM-ARCH-249,Map and location,I5,I5;I15,,I15,,"Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Map and location; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CONFIRMED,NONE,Map and location,I5
CAN-LAM-ARCH-250,Map and location,I5,I5;I15,,I15,,"Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Map and location; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CONFIRMED,NONE,Map and location,I5
CAN-LAM-ARCH-251,Duplicates,I10,I10;I15,,I15,,Label names resolution comparison; rewrite adds evidence recording.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-252,Duplicates,I10,I10;I15,,I15,,Label names format comparison; rewrite adds evidence recording.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-253,Duplicates,I10,I10;I15,,I15,,Label names size comparison; rewrite adds evidence recording.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-254,Albums and favorites,I10,I5;I15,,I15,,Label names album comparison; rewrite adds evidence recording.,REVIEWED_CORRECTED,NONE,Albums and favorites,I10
CAN-LAM-ARCH-255,Tags,I10,I8;I15,,I15,,Label names tag comparison; rewrite adds evidence recording.,REVIEWED_CORRECTED,NONE,Tags,I10
CAN-LAM-ARCH-256,Duplicates,I10,I10;I15,,I15,,Label names side-by-side preview; rewrite adds read-only display.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-257,Duplicates,I10,I10;I15,,I15,,Label names retained-file selection; rewrite adds recording and no-mutation.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-258,Duplicates,I10,I10;I15,,I15,,Label names the no-automatic-deletion rule; rewrite adds the confirmation gate.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-259,Duplicates,I10,I10;I15,,I15,,Label names the no-automatic-merge rule; rewrite adds the confirmation gate.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-260,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-261,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-262,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-263,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-264,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-265,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-266,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-267,Editing,I11,,,I15,,Label names original preservation; rewrite adds the no-overwrite invariant.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-LAM-ARCH-268,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-269,Jobs and notifications,,I5;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Jobs and notifications,I5
CAN-LAM-ARCH-270,Review Centre,,I5;I15,,I15,,Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-271,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds sequencing and decision recording.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-272,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds commit scope and provenance.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-273,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds persistence and future exclusion.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-274,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds defer/reopen state preservation.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-275,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds the no-mutation result.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-276,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds persistence and exclusion.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-277,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds exact scope and reporting.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-278,Review Centre,I5,I5;I15,,I15,,Review-action label; rewrite adds provenance display and no-mutation.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-279,Filesystem transactions and recovery,I3,I4;I15,,I15,,"Label names collision detection; rewrite adds detection, preview, and approval.",REVIEWED_CORRECTED,NONE,Filesystem transactions and recovery,I3
CAN-LAM-ARCH-280,Filesystem transactions and recovery,I3,I4;I15,,I15,,Label names preview; rewrite adds preview and approval.,REVIEWED_CORRECTED,NONE,Filesystem transactions and recovery,I3
CAN-LAM-ARCH-281,Filesystem transactions and recovery,I3,I10;I15,,I15,,Label names hash verification; rewrite adds verification and failure preservation.,REVIEWED_CORRECTED,NONE,Filesystem transactions and recovery,I3
CAN-LAM-ARCH-282,Filesystem transactions and recovery,I3,I3;I15,,I15,,Label names sidecar repair; rewrite adds preservation and history.,REVIEWED_CORRECTED,NONE,Filesystem transactions and recovery,I3
