work_package_id,implementation_phase,name,objective,included_requirement_count,capability_diversity,read_mutation_summary,contracts_affected,schemas_affected,technical_prerequisites,tests,exit_gate,direct_dependents,classification,decision_rationale,reviewer_status,reviewer_type,review_revision
WP-I11-012,I11,Editing and mutation recovery,Implement and verify the bounded editing and mutation recovery surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-014,"Focused success, boundary, and failure tests for editing and mutation recovery; affected integration checks.",The editing and mutation recovery objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Editing and mutation recovery remains the bounded I11 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-001,I12,External-drive registry,"Record durable external-drive identity, detached state, pending overlays, sidecar changes/missing state, and reconnection consistency.",5,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,External-drive registry and sidecar-reconciliation contracts,Drive registry and detached-sidecar records,WP-I3-003,"Fixture suite covering registration, disconnect, sidecar change/missing detection, and reconciliation without fabricating values.",External-drive registry fixture suite passes.,WP-I12-004;WP-I12-006,REBUILD,"REBUILD: External-drive registry objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-004,I12,Detached read-only experience,Implement and verify the bounded detached read-only experience surface.,7,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I12-001;WP-I4-010,"Focused success, boundary, and failure tests for detached read-only experience; affected integration checks.",The detached read-only experience objective and failure tests pass with no unrelated package work included.,WP-I12-005,KEEP,KEEP: Detached read-only experience remains the bounded I12 owner of its 7 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-005,I12,Pending sidecar overlays,Implement and verify the bounded pending sidecar overlays surface.,2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I12-004,"Focused success, boundary, and failure tests for pending sidecar overlays; affected integration checks.",The pending sidecar overlays objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Pending sidecar overlays remains the bounded I12 owner of its 2 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-006,I12,Root and asset relinking,Implement and verify the bounded root and asset relinking surface.,16,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I12-001,"Focused success, boundary, and failure tests for root and asset relinking; affected integration checks.",The root and asset relinking objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Root and asset relinking remains the bounded I12 owner of its 16 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-007,I12,Cross-volume copy and verify,Implement and verify the bounded cross-volume copy and verify surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-014,"Focused success, boundary, and failure tests for cross-volume copy and verify; affected integration checks.",The cross-volume copy and verify objective and failure tests pass with no unrelated package work included.,WP-I12-009,KEEP,KEEP: Cross-volume copy and verify remains the bounded I12 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-008,I12,Cross-platform path adapters,Implement and verify the bounded cross-platform path adapters surface.,2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-004,"Focused success, boundary, and failure tests for cross-platform path adapters; affected integration checks.",The cross-platform path adapters objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Cross-platform path adapters remains the bounded I12 owner of its 2 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I12-009,I12,Drive transaction recovery,"Restore interrupted cross-drive transactions and sidecar state from journaled manifests/backups using deterministic recovery or Review, without guessing.",3,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Drive recovery and sidecar-restore contracts,Drive transaction recovery and sidecar restore records,WP-I12-007,"Fixture suite covering interrupted cross-drive recovery, sidecar restore from journaled backup, and partial-hash review routing.",Drive transaction recovery fixture suite passes.,,REBUILD,"REBUILD: Drive transaction recovery objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-001,I13,Backup manifest contract,"Persist schema-valid backup manifests inventorying record revisions, exclude backup/app-data from views, preserve malformed sidecars, and enforce controlled-copy exceptions.",5,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Backup manifest contract,Backup manifest and controlled-copy exception records,WP-I3-001,"Fixture suite covering manifest schema validation, gallery/search exclusion of backup paths, malformed-sidecar byte preservation, and controlled-copy scoping.",Backup manifest fixture suite passes.,WP-I13-002,REBUILD,"REBUILD: Backup manifest contract objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-002,I13,Backup execution,Implement and verify the bounded backup execution surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I13-001;WP-I3-012,"Focused success, boundary, and failure tests for backup execution; affected integration checks.",The backup execution objective and failure tests pass with no unrelated package work included.,WP-I13-003,KEEP,KEEP: Backup execution remains the bounded I13 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-003,I13,Backup verification,Implement and verify the bounded backup verification surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I13-002,"Focused success, boundary, and failure tests for backup verification; affected integration checks.",The backup verification objective and failure tests pass with no unrelated package work included.,WP-I13-005,KEEP,KEEP: Backup verification remains the bounded I13 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-005,I13,Restore and collision handling,Implement and verify the bounded restore and collision handling surface.,0,0,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I13-003;WP-I3-011,"Focused success, boundary, and failure tests for restore and collision handling; affected integration checks.",The restore and collision handling objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Restore and collision handling remains the bounded I13 owner of its 0 requirements across 0 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-006,I13,Trash records and reversible operations,"Move complete asset bundles into a reversible trash state through reviewed plans, preserve event/tag references and original paths, and require explicit confirmation before purge or permanent delete.",12,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Trash and permanent-delete operation plans,Trash and operation records,WP-I3-010;WP-I3-011;WP-I3-012,"Trash, collision, no-purge, bundle, and restore fixtures.",Reversible-trash and no-auto-purge fixtures pass with reference preservation.,,REBUILD,"REBUILD: Trash records and reversible operations objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-008,I13,Recovery records and audit,Implement and verify the bounded recovery records and audit surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-014,"Focused success, boundary, and failure tests for recovery records and audit; affected integration checks.",The recovery records and audit objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Recovery records and audit remains the bounded I13 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-009,I13,SQLite index rebuild,Implement and verify the bounded sqlite index rebuild surface.,3,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-009,"Focused success, boundary, and failure tests for sqlite index rebuild; affected integration checks.",The sqlite index rebuild objective and failure tests pass with no unrelated package work included.,WP-I13-010,KEEP,KEEP: SQLite index rebuild remains the bounded I13 owner of its 3 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-010,I13,AI cache rebuild,Implement and verify the bounded ai cache rebuild surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-003;WP-I10-007;WP-I13-009,"Focused success, boundary, and failure tests for ai cache rebuild; affected integration checks.",The ai cache rebuild objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: AI cache rebuild remains the bounded I13 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I13-011,I13,Backup restore rebuild disaster drill,Implement and verify the bounded backup restore rebuild disaster drill surface.,9,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-009,"Focused success, boundary, and failure tests for backup restore rebuild disaster drill; affected integration checks.",The backup restore rebuild disaster drill objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Backup restore rebuild disaster drill remains the bounded I13 owner of its 9 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-001,I14,Performance fixture definitions,Define executable performance fixtures for 10k/50k/100k assets and require hardware-profile recording on every performance result.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Performance fixture and result-reporting contracts,Performance fixture and hardware-profile records,WP-I0-007,Fixture suite asserting declared workloads execute and every result records its hardware profile.,Performance fixture suite passes with reproducible hardware-profile records.,WP-I14-003;WP-I14-004;WP-I14-011;WP-I14-012;WP-I14-013;WP-I14-014,REBUILD,"REBUILD: Performance fixture definitions objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-003,I14,Gallery and viewer performance,Implement and verify the bounded gallery and viewer performance surface.,5,3,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I14-001;WP-I5-001,"Focused success, boundary, and failure tests for gallery and viewer performance; affected integration checks.",The gallery and viewer performance objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Gallery and viewer performance remains the bounded I14 owner of its 5 requirements across 3 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure. Architectural-boundary exception granted: the package spans more than two capabilities but is a reviewed cohesive surface.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-004,I14,AI performance and resource budgets,Implement and verify the bounded ai performance and resource budgets surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-006;WP-I14-001,"Focused success, boundary, and failure tests for ai performance and resource budgets; affected integration checks.",The ai performance and resource budgets objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: AI performance and resource budgets remains the bounded I14 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-005,I14,Performance budgets and large-library benchmarks,"Define and measure performance budgets (scan, index, search, thumbnail, and UI responsiveness at declared asset counts) and RAM memory budgets, blocking release when any budget is exceeded.",3,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Performance and budget reporting contracts,Performance measurement and budget records,WP-I2-002,Benchmark fixtures for each declared workload and memory profile.,Large-library and memory budget benchmarks pass with every required metric recorded.,,SPLIT,SPLIT: Performance budgets and large-library benchmarks was reviewed and split into architecturally separated packages; remaining members stay under the rebuilt package.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-009,I14,Background-job controls,Implement and verify the bounded background-job controls surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-008,"Focused success, boundary, and failure tests for background-job controls; affected integration checks.",The background-job controls objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Background-job controls remains the bounded I14 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-010,I14,Resource and power controls,Implement and verify the bounded resource and power controls surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-005,"Focused success, boundary, and failure tests for resource and power controls; affected integration checks.",The resource and power controls objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Resource and power controls remains the bounded I14 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-011,I14,Thumbnail scheduling and preview pipeline,Prioritize visible thumbnail generation and complete preview production within the reviewed budget without blocking the UI.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Thumbnail scheduling contracts,Thumbnail scheduling records,WP-I14-001;WP-I4-009,Scheduling fixtures with visible-priority and budget assertions.,Thumbnail scheduling budget fixture passes.,,REBUILD,REBUILD: new package created from an explicit split of its former parent to own Thumbnail scheduling and preview generation.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-012,I14,Background-job responsiveness and cancellation,Expose typed progress and recovery state for background jobs and measure responsiveness and cancellation latency on declared hardware.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Background-job state contracts,Operation and recovery records,WP-I10-008;WP-I14-001,Progress/cancellation fixtures with no-false-success assertions.,Background-job responsiveness fixture suite passes.,,REBUILD,"REBUILD: new package created from an explicit split of its former parent to own Background-job responsiveness, progress, and cancellation.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-013,I14,Accessibility semantics and keyboard operation,"Provide keyboard, focus, semantic, screen-reader, and non-visual alternatives for every reviewed surface including maps, graphs, and desktop panels.",4,4,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Accessibility semantics contracts,Accessibility evidence records,WP-I14-001;WP-I2-001;WP-I9-001,Keyboard-only and screen-reader fixtures for every reviewed surface.,Accessibility fixture suite passes for all reviewed surfaces.,,REBUILD,REBUILD: new package created from an explicit split of its former parent to own Accessibility semantics and keyboard operation. Architectural-boundary exception granted: the package spans more than two capabilities but is a reviewed cohesive surface.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I14-014,I14,Cross-platform performance evidence,"Record accessibility and performance evidence separately for Windows, macOS, and Linux where platform behavior differs.",1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Cross-platform evidence contracts,Platform evidence records,WP-I14-001;WP-I15-001,Per-platform evidence completeness fixtures.,Cross-platform evidence fixture passes.,,REBUILD,REBUILD: new package created from an explicit split of its former parent to own Cross-platform performance and accessibility evidence.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-001,I15,Cross-platform packages and clean-machine proof,"Produce and verify clean-machine Windows, macOS, and Linux packages with no runtime server requirement.",1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Cross-platform packaging and clean-machine verification contracts,Packaging proof records,WP-I15-006;WP-I2-013,Fixture suite covering clean-machine install/launch on all three platforms and no-server requirement assertions.,Clean-machine package fixture suite passes.,WP-I14-014;WP-I15-005;WP-I15-007;WP-I15-008,REBUILD,"REBUILD: Cross-platform packages and clean-machine proof objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-005,I15,Signing and notarization pipeline,Implement and verify the bounded signing and notarization pipeline surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I15-001,"Focused success, boundary, and failure tests for signing and notarization pipeline; affected integration checks.",The signing and notarization pipeline objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Signing and notarization pipeline remains the bounded I15 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-006,I15,Runtime component licence decisions,Implement and verify the bounded runtime component licence decisions surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-005,"Focused success, boundary, and failure tests for runtime component licence decisions; affected integration checks.",The runtime component licence decisions objective and failure tests pass with no unrelated package work included.,WP-I15-001;WP-I15-007,KEEP,KEEP: Runtime component licence decisions remains the bounded I15 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-007,I15,SBOM and third-party notices,Implement and verify the bounded sbom and third-party notices surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I15-001;WP-I15-006,"Focused success, boundary, and failure tests for sbom and third-party notices; affected integration checks.",The sbom and third-party notices objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: SBOM and third-party notices remains the bounded I15 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-008,I15,Integrated retained-feature parity,Implement and verify the bounded integrated retained-feature parity surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I15-001;WP-I5-012;WP-I6-010;WP-I7-011,"Focused success, boundary, and failure tests for integrated retained-feature parity; affected integration checks.",The integrated retained-feature parity objective and failure tests pass with no unrelated package work included.,WP-I15-015,KEEP,KEEP: Integrated retained-feature parity remains the bounded I15 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-014,I15,Final outbound-traffic verification,Verify final packages make no hidden or mandatory outbound network connection and operate locally without required cloud/remote services.,2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Final outbound-traffic verification contracts,Outbound verification records,WP-I0-010;WP-I7-010,"Fixture suite covering package inspection, network-listener absence, and local-only operation on each platform.",Final outbound-traffic fixture suite passes.,WP-I15-015,REBUILD,"REBUILD: Final outbound-traffic verification objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I15-015,I15,Legacy replacement verification and removal,"Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements.",3,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Legacy contracts only after every retained consumer uses a reviewed replacement.,Legacy-only schemas after authoritative migration and rebuild proof.,WP-I15-008;WP-I15-014,"Focused replacement parity, affected regression, clean-package launch, dependency scan, runtime listener scan, and installer inspection.","No retained feature imports, starts, packages, configures, or depends on the removed set and all replacement/parity gates pass.",,KEEP,KEEP: Legacy replacement verification and removal remains the bounded I15 owner of its 3 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I2-001,I2,Tauri shell bootstrap,"Establish the Tauri 2 process, typed IPC boundary, permission model, and repository-derived command set before other shell features.",2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Tauri shell bootstrap and IPC boundary contracts,Shell bootstrap and command-authority records,WP-I0-005,"Fixture suite asserting shell bootstraps offline, IPC boundary rejects unauthorized calls, and command set matches repository evidence.",Tauri shell bootstrap suite passes.,WP-I14-013;WP-I2-003;WP-I2-004;WP-I2-007,REBUILD,"REBUILD: Tauri shell bootstrap objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I2-002,I2,Static frontend packaging proof,Implement and verify the bounded static frontend packaging proof surface.,0,0,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-004,"Focused success, boundary, and failure tests for static frontend packaging proof; affected integration checks.",The static frontend packaging proof objective and failure tests pass with no unrelated package work included.,WP-I14-005;WP-I2-003,KEEP,KEEP: Static frontend packaging proof remains the bounded I2 owner of its 0 requirements across 0 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I2-003,I2,Offline desktop launch,Implement and verify the bounded offline desktop launch surface.,0,0,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I2-001;WP-I2-002,"Focused success, boundary, and failure tests for offline desktop launch; affected integration checks.",The offline desktop launch objective and failure tests pass with no unrelated package work included.,WP-I2-013,KEEP,KEEP: Offline desktop launch remains the bounded I2 owner of its 0 requirements across 0 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I2-004,I2,Tauri capabilities and permissions,Implement and verify the bounded tauri capabilities and permissions surface.,0,0,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I2-001,"Focused success, boundary, and failure tests for tauri capabilities and permissions; affected integration checks.",The tauri capabilities and permissions objective and failure tests pass with no unrelated package work included.,WP-I3-003,KEEP,KEEP: Tauri capabilities and permissions remains the bounded I2 owner of its 0 requirements across 0 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I2-005,I2,Local settings bootstrap,Implement and verify the bounded local settings bootstrap surface.,0,0,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I2-007,"Focused success, boundary, and failure tests for local settings bootstrap; affected integration checks.",The local settings bootstrap objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Local settings bootstrap remains the bounded I2 owner of its 0 requirements across 0 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
