record_id,candidate_value,final_reviewed_value,review_status,review_rationale,evidence,reviewer_type,review_revision,correction_applied
CAN-FAIL-16,Claiming writes reached a read-only drive or throwing unhandled write errors.,"When a root is read-only, Lamha must record the proposed change as a versioned pending overlay in application data, report its pending state, and reconcile only after root identity, revision, and conflict checks pass.",REVIEWED_CORRECTED,Converted failure history into a detached-overlay state machine.,Master Plan File 2 FAIL-16 and LAM-EDGE-05.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added pending-state and guarded-reconciliation observables.
CAN-FAIL-17,Automatically splitting a continuous event at midnight.,"Midnight and time-gap heuristics may create an event-split proposal, but Lamha must preserve the existing event until a user approves a split; approved event start date controls folder naming.",REVIEWED_CORRECTED,Assigned the control to date and location boundaries.,Master Plan File 2 FAIL-17 and LAM-EDGE-06.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added proposal state and no-mutation proof.
CAN-FAIL-18,Re-suggesting an equivalent rejected candidate after score drift.,"Lamha must suppress an equivalent rejected candidate across routine reruns and score drift, and may reconsider it only after an explicit reopen or a material source, model, configuration, identity, or evidence change while preserving prior decisions.",REVIEWED_CORRECTED,"Separated suppression identity, allowed reopening, and history.",Master Plan File 2 FAIL-18 and LAM-INV-AI-02.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added equivalence and material-change criteria.
CAN-FAIL-19,Marking requirements complete after syntax checks alone.,"A requirement may be marked complete only when every applicable gate has recorded command or inspection evidence, observable outputs, changed symbols, and reasoned not-applicable decisions.",REVIEWED_CORRECTED,Converted the audit prose into a status transition invariant.,Master Plan File 2 FAIL-19 and Gate 8.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added exact evidence fields and rejection behavior.
CAN-FAIL-20,Leaving partial moves or corrupt sidecars after interruption.,"Before a multi-file mutation, Lamha must durably prepare a transaction manifest, stage and verify outputs, commit atomically where possible, and recover or roll back by transaction identity after crash or disconnection.",REVIEWED_CORRECTED,Assigned the control to the crash recovery engine.,Master Plan File 2 FAIL-20 and LAM-TRANSACTION-001.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added transaction sequence and consistent terminal states.
CAN-FAIL-21,Hardcoding platform-specific absolute paths.,"Filesystem code must use OS-native path APIs and authorized root identities; it must not embed user-specific Windows, macOS, or Linux absolute paths.",REVIEWED_CORRECTED,Assigned the prohibition to cross-platform path adapters.,Master Plan File 2 FAIL-21 and Gate 4.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added authorized-root and rejection behavior.
CAN-FAIL-22,"Inventing cloud backup, remote sync, or multi-user login.","The final Lamha desktop runtime must operate locally without required cloud, remote synchronization, multi-user accounts, or server listeners; any separately approved outbound client must remain explicit, optional, and disabled by default.",REVIEWED_CORRECTED,Mapped the scope prohibition to final outbound verification.,Master Plan File 2 FAIL-22 and scope-drift prohibition.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added offline behavior and network observables.
CAN-FAIL-23,Asking the user to implement required code or TODOs.,An implementation package must either complete its authorized work and evidence or record a genuine blocker; it must not transfer required coding or verification work to the user as homework.,REVIEWED_CORRECTED,Reclassified model-workflow history as a planning execution invariant.,Master Plan File 2 FAIL-23 and LAM-INV-COMP-01.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added terminal states and a transcript check.
CAN-FAIL-24,Guessing paths or inventing simplified schemas under ambiguity.,"When required evidence is ambiguous, the implementation agent must preserve the known facts, record the exact unknown and affected record as blocked, and continue only independent work; guessed paths, fields, and schemas are prohibited.",REVIEWED_CORRECTED,Converted informal workflow prose into a no-write invariant.,Master Plan File 2 FAIL-24 and anti-guessing guardrail.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added blocked-state and no-guessed-output behavior.
CAN-FAIL-25,Reintroducing one category per person or guessing projections from labels.,"Lamha must preserve multiple simultaneous and historical relationship edges with independent certainty, and must derive composition views only through explicit approved projection rules rather than relationship-label guesses.",REVIEWED_CORRECTED,Assigned projection behavior to the relationship view package.,Master Plan File 2 FAIL-25 and LAM-REL-001.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Separated fact storage from derived view rules.
CAN-FAIL-26,Mutating primary media during non-destructive edits.,"Crop, rotation, and color edits must update a versioned edit recipe and compatible metadata mirrors without modifying the primary media bytes; export must create a distinct derivative and must never silently overwrite the original.",REVIEWED_CORRECTED,Separated edit authority from historical audit commentary.,Master Plan File 2 FAIL-26 and LAM-INV-ASSET-01.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added recipe, reset, hash, and derivative observables."
CAN-FAIL-27,Creating extra Master Plans or writing planning files into application code.,"Lamha planning and generated semantic evidence must remain inside Graphify, application directories must contain no planning artifacts, and the authoritative Master Plan set must not be expanded by implementation tooling.",REVIEWED_CORRECTED,Mapped the historical failure to active-plan write authority.,Master Plan File 2 FAIL-27 and directory-separation invariant.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added resolved-root and inventory proof.
CAN-FAIL-28,Silently resolving conflicting metadata sources.,"When authoritative records, embedded metadata, XMP mirrors, or pending overlays disagree, Lamha must preserve every source value and provenance, keep the last valid authority unchanged, and create a typed review conflict instead of silently choosing a winner.",REVIEWED_CORRECTED,Assigned conflict handling to the authority-aware editor.,Master Plan File 2 FAIL-28 and directional source-of-truth matrix.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added preservation, visible conflict, and explicit resolution."
CAN-FAIL-29,Using one aiChecked boolean for all AI work.,"Lamha must persist AI state per task with task type, state, model identity and version, model hash, source revision, configuration fingerprint, timestamps, and invalidation reason; a single aggregate aiChecked flag must not control validity.",REVIEWED_CORRECTED,Assigned state authority to AI task persistence.,Master Plan File 2 FAIL-29 and LAM-INV-AI-04.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Enumerated required fields and targeted invalidation.
CAN-FAIL-30,Materializing Mind Map drafts without confirmation.,"Unsaved and saved Mind Map drafts must not mutate media folders; physical materialization requires an explicit simulation, validation, user confirmation, and durable filesystem transaction.",REVIEWED_CORRECTED,Assigned physical execution to the simulation/materialization package.,Master Plan File 2 FAIL-30 and Mind Map state machine.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added state transitions and no-mutation proof.
CAN-FAIL-31,Permanently deleting files when moved to Trash.,Moving a bundle to Trash must preserve the complete bundle in the reviewed root-scoped or cross-drive trash transaction; permanent deletion requires a separate explicit authorized action and must never occur during the trash move.,REVIEWED_CORRECTED,Assigned the rule to trash and permanent-delete operations.,Master Plan File 2 FAIL-31 and LAM-TRASH-001.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Separated operations and added recoverability proof.
CAN-FAIL-32,Stopping phase execution without a genuine blocker or stop instruction.,"After a package and phase satisfy every applicable gate and record their evidence, execution may advance only to the next dependency-ready package; it must stop on a genuine blocker, explicit user stop, or missing authorization.",REVIEWED_CORRECTED,Replaced ambiguous autonomy prose with bounded package transition rules.,Master Plan File 2 FAIL-32 and autonomous workflow rule.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added safe transition outcomes and prohibited batch execution.
CAN-LAM-AI-014,OCR,"When Lamha indexes OCR text, it must store the recognized text with asset identity, source region, model version, source revision, and confidence so local search can return traceable results and identify stale or unavailable OCR data.",REVIEWED_CORRECTED,Expanded a noun-only source clause into OCR indexing and staleness behavior.,Master Plan File 1 section 2.1 and CAN-LAM-AI-014 code evidence,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added actor, trigger, persisted fields, stale behavior, and fixture."
CAN-LAM-ARCH-025,Tags,"When a local workflow proposes or changes a tag, Lamha must persist a namespaced, revisioned candidate or approved assignment, expose the decision state for review, and preserve the prior assignment if validation or storage fails.",REVIEWED_CORRECTED,Expanded a noun-only source clause into a revisioned review workflow.,Master Plan File 1 section 2.1 and tag authority rules,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added review state, revision, and preservation behavior."
CAN-LAM-ARCH-027,Albums,"When a user changes album membership or favorite state, Lamha must persist the affected asset relationship with a new revision, update the local view, and preserve the prior relationship if the authoritative write fails.",REVIEWED_CORRECTED,Expanded a noun-only source clause into album/favorite persistence behavior.,Master Plan File 1 section 2.1 and album authority rules,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added user trigger, revision, UI result, and failure preservation."
CAN-LAM-ARCH-057,Renamed,"When Lamha renames a managed asset, it must update the authorized current path through a journaled filesystem plan while preserving the original filename, stable asset identity, companion links, and original bytes.",REVIEWED_CORRECTED,The prior viewer template treated a completed filesystem action as a UI label.,Master Plan File 1 Asset Bundle Standard and operation-plan contracts,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Reclassified rename as a journaled filesystem operation.
CAN-LAM-ARCH-058,Moved,"When Lamha moves a managed asset, it must execute a validated journaled plan that preserves stable identity, original filename, companion links, metadata sidecars, and source bytes until destination verification succeeds.",REVIEWED_CORRECTED,The prior viewer template omitted transaction and bundle-integrity behavior.,Master Plan File 1 Asset Bundle Standard and file-operation plan contract,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Reclassified move as a validated transaction with recovery.
CAN-LAM-ARCH-170,Reject,"When a reviewer rejects a proposal, Lamha must persist the rejected transition, provenance, candidate fingerprint, and suppression scope while leaving authoritative metadata unchanged.",REVIEWED_CORRECTED,Expanded a button label into a persisted Review Centre transition.,Master Plan File 1 section 15.3 and Review Centre state rules,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added decision persistence, authority preservation, and suppression."
CAN-LAM-ARCH-291,GPS,"When privacy removal targets GPS metadata, Lamha must create a reviewed mutation/export plan that preserves source provenance and the managed original while removing approved coordinate fields only from the selected output or authoritative revision.",REVIEWED_CORRECTED,Expanded a noun-only privacy field into a scoped removal workflow.,Master Plan File 1 section 30.2 and privacy-removal contracts,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added scope, preservation, output, and recipe evidence."
CAN-LAM-ARCH-416,Scan,"Before the initial scanner package exits, Lamha must scan a fixture root containing supported, unsupported, nested, hidden, unreadable, and symlinked entries and report indexed, skipped-with-reason, and rejected counts without changing any source byte.",REVIEWED_CORRECTED,Replaced a one-word gate with an adversarial scanner acceptance test.,Master Plan File 3 section 24.3 and initial scanner package,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added fixture composition, typed outcomes, counts, and integrity proof."
CAN-LAM-ARCH-444,Maintain,"When any requirement or package status changes, the completion tracker must preserve prior revisions and record the actor, timestamp, evidence links, applicable gates, and resulting status transition.",REVIEWED_CORRECTED,Replaced a one-word tracker gate with revisioned status behavior.,Master Plan File 3 section 28 and active-plan authority package,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added trigger, required fields, and history verification."
CAN-LAM-DELETE-267,Use,"Destructive actions must use the shared typed confirmation contract with explicit target summary, consequence text, authorization token, collision behavior, and cancel path; feature-specific duplicate dialogs must be removed after parity proof.",REVIEWED_CORRECTED,Replaced a one-word removal gate with the retained confirmation behavior and deletion condition.,Master Plan File 2 section 37 and trash/permanent-delete contracts,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Defined shared behavior, observable cancel/approve paths, and removal prerequisite."
CAN-LAM-GOV-179,Tests,Every actionable canonical requirement must identify at least one focused verification that exercises its success or preservation behavior and names the owning work package.,REVIEWED_CORRECTED,Replaced a one-word extraction field with a traceability requirement.,Master Plan File 3 section 10 and active registry contract,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added scope, required links, and validator result."
CAN-LAM-GOV-180,Proof,Every actionable canonical requirement must link exact observable evidence or a reasoned not-applicable decision for each required gate before its status can become complete.,REVIEWED_CORRECTED,Replaced a one-word proof field with a completion invariant.,Master Plan File 3 section 10 and tracker proof rules,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added evidence granularity and blocking behavior.
CAN-LAM-GOV-273,Keep,"For every discovered production capability, the bottom-up audit must record the exact current paths and symbols, the retained behavior, its target owner, and verification evidence before classifying it as kept.",REVIEWED_CORRECTED,Replaced a one-word audit category with the evidence needed for a keep decision.,Master Plan File 3 section 20.2,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added classification inputs and completeness validation.
CAN-LAM-GOV-274,Remove,"For every discovered legacy capability proposed for removal, the bottom-up audit must record exact paths, retained callers, replacement owner, removal condition, and absence verification before authorizing deletion.",REVIEWED_CORRECTED,Replaced a one-word audit category with replacement-before-removal evidence.,Master Plan File 3 section 20.2 and removal guardrail,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added callers, replacement, removal condition, and blocking result."
CAN-LAM-META-045,XMP,"When Lamha reads or writes an XMP mirror, it must preserve the authoritative value and provenance, validate the mirror revision, and surface missing, malformed, stale, or conflicting XMP as a typed degraded or review state without discarding the last valid authority.",REVIEWED_CORRECTED,Expanded a noun-only source clause into an authority-aware XMP read protocol.,Master Plan File 1 original metadata rules and sidecar read protocol,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added read/write trigger, validation, degraded state, and preservation."
CAN-LAM-TEST-020,Test,Each high or critical risk must link a runnable failure or boundary test that demonstrates its mitigation and identifies the package gate that the test can block.,REVIEWED_CORRECTED,Replaced a one-word risk field with a risk-to-test traceability gate.,Master Plan File 3 section 26 and risk register,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added risk severity scope, runnable check, owner, and failure behavior."
CAN-LAM-GOV-292,"Do not edit, move, create, or delete anything in Codebase/.","During the read-only provenance and planning boundary, every application path outside Graphify must remain byte-for-byte unchanged and every generated evidence path must resolve inside Graphify.",REVIEWED_CORRECTED,Expanded a short historical boundary gate into the current resolved-root integrity contract.,"Final blocker-removal mission sections 1, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added resolved scope, byte integrity, and guard rejection evidence."
CAN-LAM-TEST-021,Do not mark complete before double-check and proof.,"A work package must not transition to complete until its focused checks, affected regression checks, required boundary and recovery checks, and exact evidence links have been independently validated against its exit gate.",REVIEWED_CORRECTED,Expanded a short completion warning into an observable package transition rule.,Master Plan File 3 risk management and completion gates,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added required check classes and blocked transition behavior.
