Package ID,Canonical ID,Candidate placement,Final placement,Exact authority owner,Exact implementation owner,Exact shared mechanism,Exact Codebase evidence,Exact contract evidence,Exact schema evidence,Exact test evidence,Exact failure/recovery evidence,Alternative considered,Final decision,Item-specific rationale,Evidence sources,Reviewer role,Review revision,Verification status
WP-I5-006,CAN-LAM-ARCH-236,WP-I5-006,WP-I5-006,Gallery and timeline,Albums and favorites,"Reviewed cross-capability package: Albums and favorites is a shared architectural surface used by Albums and favorites, Asset viewer, Gallery and timeline, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/lib/infrastructure/repositories/timeline.repository.dart;Codebase/web/src/lib/components/timeline/TimelineAssetViewer.svelte;Codebase/web/src/routes/(user)/favorites/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/favorites/[[photos=photos]]/[[assetId=id]]/+page.ts,"Contracts affected by requirements CAN-LAM-ARCH-027, CAN-LAM-ARCH-028, CAN-LAM-ARCH-079, CAN-LAM-ARCH-080, CAN-LAM-ARCH-231, CAN-LAM-ARCH-232, CAN-LAM-ARCH-233, CAN-LAM-ARCH-234...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-027, CAN-LAM-ARCH-028, CAN-LAM-ARCH-079, CAN-LAM-ARCH-080, CAN-LAM-ARCH-231, CAN-LAM-ARCH-232, CAN-LAM-ARCH-233, CAN-LAM-ARCH-234...; schema paths are resolved in the package packet.",Favorites-view fixture.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-ARCH-236 source locator lines 1720-1720 and Codebase evidence ['Codebase/mobile/lib/infrastructure/repositories/timeline.repository.dart', 'Codebase/web/src/lib/components/timeline/TimelineAssetViewer.svelte'] support placement in WP-I5-006.",requirements.csv:lines 1720-1720; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-236; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-006,CAN-LAM-ARCH-237,WP-I5-006,WP-I5-006,Metadata,Albums and favorites,"Reviewed cross-capability package: Albums and favorites is a shared architectural surface used by Albums and favorites, Asset viewer, Gallery and timeline, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/openapi/lib/model/queue_name.dart;Codebase/server/src/repositories/asset-job.repository.ts;Codebase/server/src/services/metadata.service.ts;Codebase/server/test/mappers.ts,"Contracts affected by requirements CAN-LAM-ARCH-027, CAN-LAM-ARCH-028, CAN-LAM-ARCH-079, CAN-LAM-ARCH-080, CAN-LAM-ARCH-231, CAN-LAM-ARCH-232, CAN-LAM-ARCH-233, CAN-LAM-ARCH-234...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-027, CAN-LAM-ARCH-028, CAN-LAM-ARCH-079, CAN-LAM-ARCH-080, CAN-LAM-ARCH-231, CAN-LAM-ARCH-232, CAN-LAM-ARCH-233, CAN-LAM-ARCH-234...; schema paths are resolved in the package packet.",Local-storage fixture.,Explicit failure/preservation clause in the statement is preserved; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-237 source locator lines 1721-1721 and Codebase evidence ['Codebase/mobile/openapi/lib/model/queue_name.dart', 'Codebase/server/src/repositories/asset-job.repository.ts'] support placement in WP-I5-006.",requirements.csv:lines 1721-1721; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-237; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-238,WP-I5-007,WP-I5-007,Memories,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/server/src/controllers/memory.controller.ts;Codebase/server/src/repositories/memory.repository.ts;Codebase/server/src/services/memory.service.ts;Codebase/web/src/routes/(user)/memory/[[photos=photos]]/[[assetId=id]]/+page.ts,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",On-this-day fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-238 source locator lines 1726-1726 and Codebase evidence ['Codebase/server/src/controllers/memory.controller.ts', 'Codebase/server/src/repositories/memory.repository.ts'] support placement in WP-I5-007.",requirements.csv:lines 1726-1726; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-238; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-239,WP-I5-007,WP-I5-007,Memories,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/lib/utils/people.utils.dart;Codebase/web/src/lib/components/asset-viewer/actions/PreviousAssetAction.svelte;Codebase/web/src/lib/utils/asset-utils.ts;Codebase/web/src/lib/utils/slideshow-history.ts,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",Same-month fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-239 source locator lines 1727-1727 and Codebase evidence ['Codebase/mobile/lib/utils/people.utils.dart', 'Codebase/web/src/lib/components/asset-viewer/actions/PreviousAssetAction.svelte'] support placement in WP-I5-007.",requirements.csv:lines 1727-1727; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-239; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-240,WP-I5-007,WP-I5-007,Memories,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/openapi/lib/api/memories_api.dart;Codebase/mobile/openapi/lib/model/memories_response.dart;Codebase/mobile/openapi/lib/model/memories_update.dart;Codebase/server/src/commands/media-location.command.ts,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",Location-memory fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-240 source locator lines 1731-1731 and Codebase evidence ['Codebase/mobile/openapi/lib/api/memories_api.dart', 'Codebase/mobile/openapi/lib/model/memories_response.dart'] support placement in WP-I5-007.",requirements.csv:lines 1731-1731; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-240; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-241,WP-I5-007,WP-I5-007,Albums and favorites,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/web/src/lib/components/album-page/AlbumsList.svelte;Codebase/web/src/routes/(user)/albums/+page.svelte;Codebase/web/src/routes/(user)/albums/+page.ts;Codebase/web/src/routes/(user)/albums/AlbumsControls.svelte,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",Album-memory fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-241 source locator lines 1732-1732 and Codebase evidence ['Codebase/web/src/lib/components/album-page/AlbumsList.svelte', 'Codebase/web/src/routes/(user)/albums/+page.svelte'] support placement in WP-I5-007.",requirements.csv:lines 1732-1732; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-241; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-242,WP-I5-007,WP-I5-007,Memories,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/server/src/controllers/memory.controller.ts;Codebase/server/src/repositories/memory.repository.ts;Codebase/server/src/services/memory.service.ts;Codebase/web/src/routes/(user)/memory/[[photos=photos]]/[[assetId=id]]/+page.ts,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",Screenshot-exclusion fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-242 source locator lines 1735-1735 and Codebase evidence ['Codebase/server/src/controllers/memory.controller.ts', 'Codebase/server/src/repositories/memory.repository.ts'] support placement in WP-I5-007.",requirements.csv:lines 1735-1735; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-242; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-007,CAN-LAM-ARCH-243,WP-I5-007,WP-I5-007,Memories,Memories experience,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/openapi/lib/model/job_name.dart;Codebase/mobile/openapi/lib/model/queue_name.dart;Codebase/server/src/repositories/person.repository.ts;Codebase/server/src/services/media.service.ts,"Contracts affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-029, CAN-LAM-ARCH-238, CAN-LAM-ARCH-239, CAN-LAM-ARCH-240, CAN-LAM-ARCH-241, CAN-LAM-ARCH-242, CAN-LAM-ARCH-243, CAN-LAM-EVENT-052...; schema paths are resolved in the package packet.",Local-generation fixture with no-network assertion.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-243 source locator lines 1737-1737 and Codebase evidence ['Codebase/mobile/openapi/lib/model/job_name.dart', 'Codebase/mobile/openapi/lib/model/queue_name.dart'] support placement in WP-I5-007.",requirements.csv:lines 1737-1737; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-243; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-251,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/docs/docs/overview/comparison.md;Codebase/e2e/tsconfig.json;Codebase/web/src/lib/utils/duplicate-utils.ts;Codebase/web/tsconfig.json,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Resolution-comparison fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-251 source locator lines 1768-1768 and Codebase evidence ['Codebase/docs/docs/overview/comparison.md', 'Codebase/e2e/tsconfig.json'] support placement in WP-I10-011.",requirements.csv:lines 1768-1768; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-251; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-252,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/docs/docs/overview/comparison.md;Codebase/web/src/lib/utils/duplicate-utils.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Format-comparison fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-252 source locator lines 1769-1769 and Codebase evidence ['Codebase/docs/docs/overview/comparison.md', 'Codebase/web/src/lib/utils/duplicate-utils.ts'] support placement in WP-I10-011.",requirements.csv:lines 1769-1769; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-252; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-253,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/docs/docs/overview/comparison.md;Codebase/web/src/lib/utils/duplicate-utils.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Size-comparison fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-253 source locator lines 1770-1770 and Codebase evidence ['Codebase/docs/docs/overview/comparison.md', 'Codebase/web/src/lib/utils/duplicate-utils.ts'] support placement in WP-I10-011.",requirements.csv:lines 1770-1770; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-253; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-254,WP-I10-011,WP-I10-011,Albums and favorites,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/web/src/lib/components/album-page/AlbumsList.svelte;Codebase/web/src/routes/(user)/albums/+page.svelte;Codebase/web/src/routes/(user)/albums/+page.ts;Codebase/web/src/routes/(user)/albums/AlbumsControls.svelte,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Album-comparison fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-254 source locator lines 1772-1772 and Codebase evidence ['Codebase/web/src/lib/components/album-page/AlbumsList.svelte', 'Codebase/web/src/routes/(user)/albums/+page.svelte'] support placement in WP-I10-011.",requirements.csv:lines 1772-1772; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-254; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-255,WP-I10-011,WP-I10-011,Tags,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/docs/docs/overview/comparison.md;Codebase/web/src/lib/components/asset-viewer/DetailPanelTags.svelte;Codebase/web/src/lib/utils/duplicate-utils.ts;Codebase/web/src/routes/(user)/tags/[[photos=photos]]/[[assetId=id]]/+page.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Tag-comparison fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-255 source locator lines 1773-1773 and Codebase evidence ['Codebase/docs/docs/overview/comparison.md', 'Codebase/web/src/lib/components/asset-viewer/DetailPanelTags.svelte'] support placement in WP-I10-011.",requirements.csv:lines 1773-1773; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-255; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-256,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/server/src/services/duplicate.service.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/DuplicatesCompareControl.svelte,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Side-by-side preview fixture.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-ARCH-256 source locator lines 1775-1775 and Codebase evidence ['Codebase/server/src/services/duplicate.service.ts', 'Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte'] support placement in WP-I10-011.",requirements.csv:lines 1775-1775; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-256; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-257,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/server/src/services/duplicate.service.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/DuplicatesCompareControl.svelte,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Retained-file selection fixture.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-ARCH-257 source locator lines 1776-1776 and Codebase evidence ['Codebase/server/src/services/duplicate.service.ts', 'Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte'] support placement in WP-I10-011.",requirements.csv:lines 1776-1776; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-257; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-258,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/server/src/repositories/asset-job.repository.ts;Codebase/server/src/services/asset.service.ts;Codebase/server/src/services/user.service.ts;Codebase/server/test/mappers.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",No-delete fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-258 source locator lines 1778-1778 and Codebase evidence ['Codebase/server/src/repositories/asset-job.repository.ts', 'Codebase/server/src/services/asset.service.ts'] support placement in WP-I10-011.",requirements.csv:lines 1778-1778; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-258; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-ARCH-259,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/server/src/repositories/duplicate.repository.ts;Codebase/server/src/services/duplicate.service.ts;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/utilities/duplicates/[[photos=photos]]/[[assetId=id]]/+page.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",No-merge fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-259 source locator lines 1779-1779 and Codebase evidence ['Codebase/server/src/repositories/duplicate.repository.ts', 'Codebase/server/src/services/duplicate.service.ts'] support placement in WP-I10-011.",requirements.csv:lines 1779-1779; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-259; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-010,CAN-LAM-ARCH-272,WP-I5-010,WP-I5-010,Review Centre,Review-state mutations,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.",Codebase/server/src/repositories/workflow.repository.ts;Codebase/server/src/services/workflow.service.ts;Codebase/web/src/lib/components/asset-viewer/PhotoSphereViewerAdapter.svelte,Review decision and transition contracts,Review item and review decision records,Approve fixture with scope checks.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-ARCH-272 source locator lines 1840-1840 and Codebase evidence ['Codebase/server/src/repositories/workflow.repository.ts', 'Codebase/server/src/services/workflow.service.ts'] support placement in WP-I5-010.",requirements.csv:lines 1840-1840; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-272; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-010,CAN-LAM-ARCH-273,WP-I5-010,WP-I5-010,Review Centre,Review-state mutations,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.",Codebase/server/src/repositories/workflow.repository.ts;Codebase/server/src/services/workflow.service.ts;Codebase/web/src/lib/components/asset-viewer/PhotoSphereViewerAdapter.svelte,Review decision and transition contracts,Review item and review decision records,Suppress fixture with exclusion checks.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-273 source locator lines 1842-1842 and Codebase evidence ['Codebase/server/src/repositories/workflow.repository.ts', 'Codebase/server/src/services/workflow.service.ts'] support placement in WP-I5-010.",requirements.csv:lines 1842-1842; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-273; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-010,CAN-LAM-ARCH-274,WP-I5-010,WP-I5-010,Review Centre,Review-state mutations,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.",Codebase/server/src/repositories/workflow.repository.ts;Codebase/server/src/services/workflow.service.ts;Codebase/web/src/lib/components/asset-viewer/PhotoSphereViewerAdapter.svelte,Review decision and transition contracts,Review item and review decision records,Defer/reopen fixture.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-ARCH-274 source locator lines 1843-1843 and Codebase evidence ['Codebase/server/src/repositories/workflow.repository.ts', 'Codebase/server/src/services/workflow.service.ts'] support placement in WP-I5-010.",requirements.csv:lines 1843-1843; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-274; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-010,CAN-LAM-ARCH-276,WP-I5-010,WP-I5-010,Review Centre,Review-state mutations,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.",Codebase/server/src/repositories/workflow.repository.ts;Codebase/server/src/services/workflow.service.ts;Codebase/web/src/lib/components/asset-viewer/PhotoSphereViewerAdapter.svelte,Review decision and transition contracts,Review item and review decision records,Mark-intentional fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-ARCH-276 source locator lines 1845-1845 and Codebase evidence ['Codebase/server/src/repositories/workflow.repository.ts', 'Codebase/server/src/services/workflow.service.ts'] support placement in WP-I5-010.",requirements.csv:lines 1845-1845; reviewed-actionable-requirements-v3.csv:CAN-LAM-ARCH-276; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
