canonical_id,work_package_id,membership_rationale,capability_compatibility,requirement_phase,package_phase,review_status,evidence
CAN-LAM-ARCH-241,WP-I5-007,WP-I5-007 is the architectural owner because its objective — Implement and verify the bounded memories experience surface. — is the surface that must execute the obligation 'Album memories must derive assets from reviewed album membership and omit unavailable asse'; prerequisite packages WP-I4-010 supply the underlying schema/identity/journal it needs.,Albums and favorites,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-242,WP-I5-007,WP-I5-007 is the architectural owner because its objective — Implement and verify the bounded memories experience surface. — is the surface that must execute the obligation 'Screenshot exclusions must exclude reviewed screenshot-class assets from memories.'; prerequisite packages WP-I4-010 supply the underlying schema/identity/journal it needs.,Memories,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-243,WP-I5-007,"WP-I5-007 is the architectural owner because its objective — Implement and verify the bounded memories experience surface. — is the surface that must execute the obligation 'When memories are generated, Lamha must produce every memory entirely from local canonical'; prerequisite packages WP-I4-010 supply the underlying schema/identity/journal it needs.",Memories,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-244,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When a venue is shown on the map, Lamha must derive the venue location from canonical loca'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-245,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When map browsing runs, Lamha must render assets from local location records, keep navigat'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-246,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When a location conflict is reviewed, Lamha must show the conflicting values and sources a'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-247,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When the user disables the map, Lamha must stop map rendering and keep location records an'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-248,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When coordinates are displayed offline, Lamha must show the reviewed coordinates from loca'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-249,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'Online map tiles may remain optional and disabled by default.'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-250,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When an optional external AI adapter is disabled, Lamha must make no provider request; ena'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-251,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate analysis compares resolution, Lamha must record the reviewed resolution com'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-252,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate analysis compares format, Lamha must record the reviewed format comparison '; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-253,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate analysis compares size, Lamha must record the reviewed size comparison evid'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-254,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate analysis compares album membership, Lamha must record the reviewed album co'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Albums and favorites,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-255,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate analysis compares tags, Lamha must record the reviewed tag comparison evide'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Tags,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-256,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When a side-by-side preview is requested for duplicate candidates, Lamha must display the '; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-257,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When a user selects the retained file in a duplicate pair, Lamha must record the selection'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-258,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'Duplicate management must never delete files automatically; deletion requires an explicitl'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-259,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'Duplicate management must never merge files automatically; merging requires an explicitly '; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-267,WP-I11-004,"WP-I11-004 is the architectural owner because its objective — Persist revisioned crop/rotate/color edit recipes and metadata mirrors, preview changes, preserve original media bytes, and only materialize edited copies throu — is the surface that must execute the obligation 'Non-destructive editing must always preserve the original media file; edits are stored as '; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-271,WP-I5-014,"WP-I5-014 is the architectural owner because its objective — Filter review queues by confidence and source and advance through items one by one or by skipping without changing item state. — is the surface that must execute the obligation 'When a reviewer reviews items one by one, Lamha must present one item at a time and record'; prerequisite packages WP-I5-010 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-272,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer approves an item, Lamha must commit the approved transition with provenanc'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-273,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer suppresses an item, Lamha must persist the suppression and exclude the ite'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-274,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer defers an item, Lamha must persist the deferred state and restore the item'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-275,WP-I5-014,"WP-I5-014 is the architectural owner because its objective — Filter review queues by confidence and source and advance through items one by one or by skipping without changing item state. — is the surface that must execute the obligation 'When a reviewer skips an item, Lamha must move to the next item without changing the skipp'; prerequisite packages WP-I5-010 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-276,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer marks an item intentional, Lamha must persist the intentional marker with '; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-277,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer applies a decision to a selection, Lamha must commit the decision to exact'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-278,WP-I5-013,"WP-I5-013 is the architectural owner because its objective — Load and display review items, assets, events, people, and provenance without mutating authoritative state; opening an item never changes its state. — is the surface that must execute the obligation 'When a reviewer asks for the suggestion reason, Lamha must display the model, source, and '; prerequisite packages WP-I3-002, WP-I5-010, WP-I6-002, WP-I7-004 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-279,WP-I3-011,"WP-I3-011 is the architectural owner because its objective — Implement and verify the bounded file-operation plan contract surface. — is the surface that must execute the obligation 'When a file or folder operation would collide, Lamha must detect the collision, preview th'; prerequisite packages WP-I3-002, WP-I3-003 supply the underlying schema/identity/journal it needs.",Filesystem transactions and recovery,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-280,WP-I3-011,"WP-I3-011 is the architectural owner because its objective — Implement and verify the bounded file-operation plan contract surface. — is the surface that must execute the obligation 'Before any file or folder mutation commits, Lamha must show a preview of the planned chang'; prerequisite packages WP-I3-002, WP-I3-003 supply the underlying schema/identity/journal it needs.",Filesystem transactions and recovery,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-281,WP-I3-011,"WP-I3-011 is the architectural owner because its objective — Implement and verify the bounded file-operation plan contract surface. — is the surface that must execute the obligation 'When a move or rename commits, Lamha must verify source and destination hashes and leave a'; prerequisite packages WP-I3-002, WP-I3-003 supply the underlying schema/identity/journal it needs.",Filesystem transactions and recovery,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-282,WP-I3-014,"WP-I3-014 is the architectural owner because its objective — Implement and verify the bounded crash recovery engine surface. — is the surface that must execute the obligation 'When a sidecar is repaired, Lamha must preserve the original bytes until a validated repla'; prerequisite packages WP-I3-010 supply the underlying schema/identity/journal it needs.",Filesystem transactions and recovery,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-283,WP-I4-007,"WP-I4-007 is the architectural owner because its objective — Implement and verify the bounded content hashing and verification surface. — is the surface that must execute the obligation 'When consistency detection compares the recorded hash with the current hash, Lamha must re'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.",Media ingestion and derivation,I4,I4,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-284,WP-I4-006,"WP-I4-006 is the architectural owner because its objective — Implement and verify the bounded companion-media detection surface. — is the surface that must execute the obligation 'When an orphan sidecar is found, Lamha must create a review item with the sidecar and susp'; prerequisite packages WP-I3-002, WP-I4-003 supply the underlying schema/identity/journal it needs.",Media ingestion and derivation,I4,I4,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-291,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When privacy removal targets GPS metadata, Lamha must create a reviewed mutation/export pl'; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Metadata privacy removal,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-292,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets device serial data, Lamha must remove it from the e'; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-293,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets identifying camera fields, Lamha must remove them f'; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-294,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets author or creator fields, Lamha must remove them fr'; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-295,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets comments, Lamha must remove them from the exported '; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-296,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets descriptions, Lamha must remove them from the expor'; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-297,WP-I11-003,"WP-I11-003 is the architectural owner because its objective — Implement and verify the bounded metadata privacy removal surface. — is the surface that must execute the obligation 'When embedded-metadata removal targets custom field selections, Lamha must remove exactly '; prerequisite packages WP-I11-001 supply the underlying schema/identity/journal it needs.",Editing,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-298,WP-I7-010,"WP-I7-010 is the architectural owner because its objective — Implement and verify the bounded people and face privacy surface. — is the surface that must execute the obligation 'When face and AI privacy controls run, Lamha must let the user delete embeddings from the '; prerequisite packages WP-I10-001, WP-I7-004 supply the underlying schema/identity/journal it needs.",Metadata,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-299,WP-I7-010,"WP-I7-010 is the architectural owner because its objective — Implement and verify the bounded people and face privacy surface. — is the surface that must execute the obligation 'When the user requests entire-library AI data deletion, Lamha must delete all AI-derived p'; prerequisite packages WP-I10-001, WP-I7-004 supply the underlying schema/identity/journal it needs.",Metadata,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-300,WP-I5-008,"WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'Maps must render from canonical location records and show source and confidence where appl'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",Map and location,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-301,WP-I3-016,WP-I3-016 is the architectural owner because its objective — Implement and verify the bounded settings root and drive registries surface. — is the surface that must execute the obligation 'Settings changes must validate and persist the local setting with a new revision and retai'; prerequisite packages WP-I3-003 supply the underlying schema/identity/journal it needs.,Settings,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-302,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'When a reviewer records a decision on a Review item, Lamha must persist the chosen value w'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-305,WP-I13-006,"WP-I13-006 is the architectural owner because its objective — Move complete asset bundles into a reversible trash state through reviewed plans, preserve event/tag references and original paths, and require explicit confirm — is the surface that must execute the obligation 'When a trash operation would collide with an existing path, Lamha must warn before committ'; prerequisite packages WP-I3-010, WP-I3-011, WP-I3-012 supply the underlying schema/identity/journal it needs.","Backup, trash, restore and rebuild",I13,I13,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-306,WP-I13-006,"WP-I13-006 is the architectural owner because its objective — Move complete asset bundles into a reversible trash state through reviewed plans, preserve event/tag references and original paths, and require explicit confirm — is the surface that must execute the obligation 'Every trash operation must record a typed operation record with source path, target path, '; prerequisite packages WP-I3-010, WP-I3-011, WP-I3-012 supply the underlying schema/identity/journal it needs.","Backup, trash, restore and rebuild",I13,I13,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-307,WP-I13-006,"WP-I13-006 is the architectural owner because its objective — Move complete asset bundles into a reversible trash state through reviewed plans, preserve event/tag references and original paths, and require explicit confirm — is the surface that must execute the obligation 'Trash must not purge automatically by default; purging requires an explicit user action an'; prerequisite packages WP-I3-010, WP-I3-011, WP-I3-012 supply the underlying schema/identity/journal it needs.","Backup, trash, restore and rebuild",I13,I13,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-309,WP-I12-006,"WP-I12-006 is the architectural owner because its objective — Implement and verify the bounded root and asset relinking surface. — is the surface that must execute the obligation 'When an external rename is detected, Lamha must reconcile the derived path index using exa'; prerequisite packages WP-I12-001 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-310,WP-I12-006,"WP-I12-006 is the architectural owner because its objective — Implement and verify the bounded root and asset relinking surface. — is the surface that must execute the obligation 'When an external move is detected, Lamha must update the path index on exact identity or f'; prerequisite packages WP-I12-001 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-311,WP-I12-001,"WP-I12-001 is the architectural owner because its objective — Record durable external-drive identity, detached state, pending overlays, sidecar changes/missing state, and reconnection consistency. — is the surface that must execute the obligation 'When a sidecar changes externally, Lamha must validate the new content and reconcile the d'; prerequisite packages WP-I3-003 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-312,WP-I12-001,"WP-I12-001 is the architectural owner because its objective — Record durable external-drive identity, detached state, pending overlays, sidecar changes/missing state, and reconnection consistency. — is the surface that must execute the obligation 'When a sidecar is missing externally, Lamha must mark the record degraded and open Review '; prerequisite packages WP-I3-003 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-313,WP-I12-006,"WP-I12-006 is the architectural owner because its objective — Implement and verify the bounded root and asset relinking surface. — is the surface that must execute the obligation 'When reconciling external changes, a full hash match is sufficient evidence to relink an a'; prerequisite packages WP-I12-001 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-314,WP-I12-009,"WP-I12-009 is the architectural owner because its objective — Restore interrupted cross-drive transactions and sidecar state from journaled manifests/backups using deterministic recovery or Review, without guessing. — is the surface that must execute the obligation 'A partial hash match alone must never auto-relink an asset; ambiguous partial matches must'; prerequisite packages WP-I12-007 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-315,WP-I12-006,WP-I12-006 is the architectural owner because its objective — Implement and verify the bounded root and asset relinking surface. — is the surface that must execute the obligation 'Capture date alone must not be used to relink externally changed assets; matching requires'; prerequisite packages WP-I12-001 supply the underlying schema/identity/journal it needs.,External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-316,WP-I12-006,WP-I12-006 is the architectural owner because its objective — Implement and verify the bounded root and asset relinking surface. — is the surface that must execute the obligation 'File size alone must not be used to relink externally changed assets; matching requires id'; prerequisite packages WP-I12-001 supply the underlying schema/identity/journal it needs.,External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-317,WP-I12-001,"WP-I12-001 is the architectural owner because its objective — Record durable external-drive identity, detached state, pending overlays, sidecar changes/missing state, and reconnection consistency. — is the surface that must execute the obligation 'Sidecar references must be reconciled only when the referenced asset identity is confirmed'; prerequisite packages WP-I3-003 supply the underlying schema/identity/journal it needs.",External drives and path resilience,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-318,WP-I14-003,"WP-I14-003 is the architectural owner because its objective — Implement and verify the bounded gallery and viewer performance surface. — is the surface that must execute the obligation 'The desktop gallery must provide a familiar grid layout that renders from local data, rema'; prerequisite packages WP-I14-001, WP-I5-001 supply the underlying schema/identity/journal it needs.",Gallery and timeline,I14,I14,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-319,WP-I14-003,"WP-I14-003 is the architectural owner because its objective — Implement and verify the bounded gallery and viewer performance surface. — is the surface that must execute the obligation 'The viewer must provide a clean full-screen mode that hides chrome, shows the asset from t'; prerequisite packages WP-I14-001, WP-I5-001 supply the underlying schema/identity/journal it needs.",Asset viewer,I14,I14,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-320,WP-I14-003,"WP-I14-003 is the architectural owner because its objective — Implement and verify the bounded gallery and viewer performance surface. — is the surface that must execute the obligation 'Timeline navigation must move through dates from local records, stay keyboard-operable, an'; prerequisite packages WP-I14-001, WP-I5-001 supply the underlying schema/identity/journal it needs.",Gallery and timeline,I14,I14,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-325,WP-I14-009,"WP-I14-009 is the architectural owner because its objective — Implement and verify the bounded background-job controls surface. — is the surface that must execute the obligation 'While the UI loads data, Lamha must show loading progress and must not report completion b'; prerequisite packages WP-I10-008 supply the underlying schema/identity/journal it needs.",Jobs and notifications,I14,I14,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-326,WP-I14-009,WP-I14-009 is the architectural owner because its objective — Implement and verify the bounded background-job controls surface. — is the surface that must execute the obligation 'Background jobs must expose typed progress and recovery state and must not report success '; prerequisite packages WP-I10-008 supply the underlying schema/identity/journal it needs.,Jobs and notifications,I14,I14,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-332,WP-I5-001,"WP-I5-001 is the architectural owner because its objective — Render the gallery grid from local records with adjustable density, fast thumbnail cache loading within budget, and keyboard-operable retained components. — is the surface that must execute the obligation 'The target local architecture must retain the useful gallery components that render from l'; prerequisite packages WP-I4-009, WP-I4-010 supply the underlying schema/identity/journal it needs.",Gallery and timeline,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-333,WP-I5-012,"WP-I5-012 is the architectural owner because its objective — Implement and verify the bounded offline library parity proof surface. — is the surface that must execute the obligation 'The target local architecture must retain the useful viewer components that load assets fr'; prerequisite packages WP-I5-001, WP-I5-010 supply the underlying schema/identity/journal it needs.",Asset viewer,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-335,WP-I2-007,WP-I2-007 is the architectural owner because its objective — Implement and verify the bounded ipc envelope and versioning surface. — is the surface that must execute the obligation 'Every UI-to-core call must use the reviewed typed Tauri IPC command and render returned lo'; prerequisite packages WP-I2-001 supply the underlying schema/identity/journal it needs.,Desktop shell,I2,I2,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
