record_id,original_source_text,previous_statement,final_statement,final_classification,parent_requirement,acceptance_criteria,capability,primary_phase,verification_method,review_rationale,evidence,disposition,reviewer_type,review_revision,review_status
CAN-LAM-EVENT-039,Have event links,"When the 12. Groups and Subgroups workflow manages Have event links, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Event links are events associated with a group through reviewed event membership.,GLOSSARY,CAN-SECTION-0016,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Group-model field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12. Groups and Subgroups; parent=CAN-SECTION-0016,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-EVENT-040,Be event-specific,"When the 12. Groups and Subgroups workflow manages Be event-specific, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Event-specific membership scopes a group membership or relationship to a single reviewed event.,GLOSSARY,CAN-SECTION-0016,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Group-model field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12. Groups and Subgroups; parent=CAN-SECTION-0016,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-PERSON-050,Contain subgroups,"When the 12. Groups and Subgroups workflow manages Contain subgroups, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","Groups may contain subgroups, forming a reviewed hierarchical membership model.",GLOSSARY,CAN-SECTION-0016,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Group-model field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12. Groups and Subgroups; parent=CAN-SECTION-0016,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-119,Display rules:,"When the 12.1 Canonical group name workflow manages Display rules, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","Display rules define how group aliases, hidden status, members, and profile fields are presented in the UI.",GLOSSARY,CAN-SECTION-0059,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Display-rule heading label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12.1 Canonical group name; parent=CAN-SECTION-0059,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-121,Old names remain aliases by default.,"When the 12.1 Canonical group name workflow manages Old names remain aliases by default, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When a person's canonical name changes, the previous name must be retained as a searchable alias by default.",ACCEPTANCE_CRITERION,CAN-SECTION-0059,"Given a canonical-name change, when search runs afterwards, then the old name remains searchable as an alias.",People and faces,I7,Rename-and-search fixture with alias preservation check.,Label states the alias-preservation rule; rewrite makes it observable.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12.1 Canonical group name; parent=CAN-SECTION-0059,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-SEARCH-005,Historical or alternate names remain searchable.,"When the 12.1 Canonical group name workflow manages Historical or alternate names remain searchable, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Person search must match historical and alternate names and return the correct person profile.,ACCEPTANCE_CRITERION,CAN-SECTION-0059,"Given a person with historical or alternate names, when a user searches any of those names, then the correct profile is returned.",People and faces,I7,Alternate-name search fixture.,Label states alternate-name search; rewrite adds the observable search result.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12.1 Canonical group name; parent=CAN-SECTION-0059,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EVENT-042,Event count,"When Event count is requested in 13.1 Nodes, Lamha must produce or update a reviewable event plan, show its membership and filesystem effects, and make no authoritative or filesystem change if validation or confirmation fails.","Event count is the number of events associated with a person or node, derived from reviewed event membership.",GLOSSARY,CAN-SECTION-0160,,Events and organization,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Node-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.1 Nodes; parent=CAN-SECTION-0160,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-PERSON-055,Face,"When the 13.1 Nodes workflow manages Face, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Face is a detected face region linked to a person or candidate with a revisioned assignment.,GLOSSARY,CAN-SECTION-0220,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Node-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.1 Nodes; parent=CAN-SECTION-0220,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-PERSON-056,Primary relationship,"When the 13.1 Nodes workflow manages Primary relationship, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Primary relationship is the reviewed principal relationship edge of a person profile.,GLOSSARY,CAN-SECTION-0220,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.1 Nodes; parent=CAN-SECTION-0220,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-PERSON-057,Additional relationships,"When the 13.1 Nodes workflow manages Additional relationships, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Additional relationships are the reviewed secondary relationship edges of a person profile.,GLOSSARY,CAN-SECTION-0220,,People and faces,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.1 Nodes; parent=CAN-SECTION-0220,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-125,Built-in examples include:,"When the 13.2 Relationships workflow manages Built-in examples include, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Built-in relationship examples include the reviewed preset relationship types offered when creating an edge.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability; Gate 5 Tauri/UI,Relationship-heading label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-126,Sure,"When the 13.2 Relationships workflow manages Sure, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Sure is the reviewed certainty value indicating a relationship is confirmed.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Certainty-value label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-127,Not Sure,"When the 13.2 Relationships workflow manages Not Sure, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Not Sure is the reviewed certainty value indicating a relationship is uncertain and requires review.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Certainty-value label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-128,Start date,"When the 13.2 Relationships workflow manages Start date, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Start date is the effective start of a relationship edge.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-129,End date,"When the 13.2 Relationships workflow manages End date, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",End date is the effective end of a relationship edge; a closed edge remains queryable as history.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-130,Active status,"When the 13.2 Relationships workflow manages Active status, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Active status marks a currently effective relationship edge.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-131,Former status,"When the 13.2 Relationships workflow manages Former status, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Former status marks a relationship edge that has ended and remains queryable as history.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-132,Custom notes,"When the 13.2 Relationships workflow manages Custom notes, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Custom notes are reviewer-entered notes stored on a relationship edge.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-133,Change history,"When the 13.2 Relationships workflow manages Change history, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Change history is the revisioned log of relationship-edge changes.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-field label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-PERSON-059,Relationships may include:,"When the 13.2 Relationships workflow manages Relationships may include, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",Relationships may include the reviewed built-in presets plus user-defined custom edges with explicit certainty and notes.,GLOSSARY,CAN-SECTION-0060,,Relationships and attribution,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Relationship-heading label; reclassified as glossary. | Non-implementation record (GLOSSARY/UI_LABEL/INFORMATIONAL/DUPLICATE) cannot retain an implementation phase.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.2 Relationships; parent=CAN-SECTION-0060,RECLASSIFY_GLOSSARY,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass2-semantic-consistency-correction,REVIEWED_CORRECTED
CAN-LAM-ARCH-134,Select the proposed change.,"When the 13.3 Sure relationship changes workflow manages Select the proposed change, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When a reviewer selects a proposed relationship or membership change, Lamha must highlight the pending proposal without committing it.",ACCEPTANCE_CRITERION,CAN-SECTION-0061,"Given a pending proposal, when the reviewer selects it, then it is highlighted and no authoritative change is committed.",People and faces,I8,Selection-step fixture asserting no commit on selection.,Label names the selection step; rewrite separates selection from commit.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.3 Sure relationship changes; parent=CAN-SECTION-0061,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-ARCH-135,Perform final explicit confirmation.,"When the 13.3 Sure relationship changes workflow manages Perform final explicit confirmation, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When a reviewer performs final explicit confirmation, Lamha must commit the approved transition and persist its provenance and revision.",ACCEPTANCE_CRITERION,CAN-SECTION-0061,"Given a selected proposal, when final confirmation is given, then the transition commits with provenance and a new revision.",People and faces,I8,Final-confirmation fixture with provenance checks.,Label names the confirmation step; rewrite makes the commit observable.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.3 Sure relationship changes; parent=CAN-SECTION-0061,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-PERSON-060,Create a relationship,"When the 13.4 Visual placement workflow manages Create a relationship, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When the user creates a relationship, Lamha must persist a revisioned effective-dated edge with certainty and notes and expose it for review.",ACCEPTANCE_CRITERION,CAN-SECTION-0221,"Given a new relationship, when creation is confirmed, then a revisioned effective-dated edge is stored and visible for review.",People and faces,I8,Relationship-create fixture with revision and review checks.,"Label names creation; rewrite adds persistence, effective dating, and review exposure.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.4 Visual placement; parent=CAN-SECTION-0221,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-PERSON-061,Delete a relationship,"When the 13.4 Visual placement workflow manages Delete a relationship, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When the user deletes a relationship, Lamha must close the edge at its end date and preserve historical edges and projections.",ACCEPTANCE_CRITERION,CAN-SECTION-0221,"Given an existing edge, when deletion is confirmed, then the edge closes with an end date and its history remains queryable.",People and faces,I8,Relationship-delete fixture with history-preservation checks.,Label names deletion; rewrite converts deletion into a dated close that preserves history.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.4 Visual placement; parent=CAN-SECTION-0221,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-PERSON-062,Change group membership,"When the 13.4 Visual placement workflow manages Change group membership, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.","When group membership changes, Lamha must append or close the effective-dated period and preserve all historical membership.",ACCEPTANCE_CRITERION,CAN-SECTION-0221,"Given an active membership, when the membership changes, then the period is appended or closed and prior periods remain queryable.",People and faces,I7,Membership-change fixture with period checks.,Label names membership change; rewrite adds period semantics and preservation.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=13.4 Visual placement; parent=CAN-SECTION-0221,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-GOV-213,Preserve useful:,"When Preserve useful is exercised in 14.1 Frontend, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",Planning migrations must preserve useful reviewed content and record explicit dispositions for any removed content.,INFORMATIONAL,,,Planning and verification governance,,Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regression; Gate 8 traceability,Planning-instruction fragment; reclassified as informational guidance.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.1 Frontend; parent=none,RECLASSIFY_INFORMATIONAL,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-ARCH-141,Save progress,"When Save progress occurs in 14.2 Draft / Safe mode, Lamha must expose a typed operation or notification state with progress and recovery information, and must not report success for a cancelled, failed, or partially committed operation.","When a long-running local workflow saves progress, Lamha must persist a typed operation state with recovery information and never report success for an incomplete operation.",ACCEPTANCE_CRITERION,CAN-SECTION-0062,"Given a running operation, when progress is saved, then a typed recovery state is persisted and success is not reported until completion.",Jobs and notifications,I10,Progress-save fixture with state and success checks.,Label names progress saving; rewrite adds typed state and no-false-success rules.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.2 Draft / Safe mode; parent=CAN-SECTION-0062,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EVENT-044,Link events,"When Link events is requested in 14.2 Draft / Safe mode, Lamha must produce or update a reviewable event plan, show its membership and filesystem effects, and make no authoritative or filesystem change if validation or confirmation fails.","When the user links events, Lamha must persist the reviewed event relationship with provenance and show it in event projections.",ACCEPTANCE_CRITERION,CAN-SECTION-0161,"Given two events, when linking is confirmed, then the relationship is persisted with provenance and appears in projections.",Events and organization,I6,Event-link fixture with projection checks.,Label names event linking; rewrite adds persistence and projection results.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.2 Draft / Safe mode; parent=CAN-SECTION-0161,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-FOLDER-023,Link existing folders,"When a configured library encounters Link existing folders during 14.2 Draft / Safe mode, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.","When the user links an existing folder as an event folder, Lamha must record the link without moving, renaming, or altering the folder contents.",ACCEPTANCE_CRITERION,CAN-SECTION-0169,"Given an existing folder, when it is linked, then the link is recorded and folder paths and contents remain unchanged.",Libraries and storage,I4,Folder-link fixture with no-mutation assertion.,Label names folder linking; rewrite separates linking from mutation.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.2 Draft / Safe mode; parent=CAN-SECTION-0169,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-ARCH-144,Sidecars to create,"When the 14.3 Materialization workflow reads or changes Sidecars to create, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When a managed asset mutation requires sidecars, Lamha must create the exact reviewed sidecar set with schema-valid JSON and transaction-journaled writes.",ACCEPTANCE_CRITERION,CAN-SECTION-0063,"Given an approved mutation, when sidecars are created, then the reviewed sidecar set exists, validates, and is journaled before commit.",Metadata,I3,Sidecar-creation fixture with schema and journal checks.,"Label names sidecar creation; rewrite adds the exact-set, validation, and journaling outcomes.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.3 Materialization; parent=CAN-SECTION-0063,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-ARCH-147,Required storage,"When a configured library encounters Required storage during 14.3 Materialization, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.","When initializing a Library Root, Lamha must provision the required managed storage directories including typed .app-data authority directories, without altering existing user folders or media bytes.",FUNCTIONAL_REQUIREMENT,,"Given a new or existing Library Root, when initialization runs, then required managed directories exist exactly once and existing user paths and file hashes remain unchanged.",Libraries and storage,I4,Root-initialization fixture with directory and hash checks.,Label names required storage; rewrite adds the initialization trigger and preservation result.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.3 Materialization; parent=none,REWRITE_AS_REQUIREMENT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-ASSET-070,Assets to move,"When the user invokes Assets to move in 14.3 Materialization, the viewer must apply or display the behavior for the selected asset, expose the resulting UI state, and preserve the original media when the operation or format is unavailable.","When an approved operation plan lists assets to move, Lamha must move exactly the listed assets and leave unlisted assets and files unchanged.",ACCEPTANCE_CRITERION,CAN-SECTION-0122,"Given an approved plan, when the move executes, then only listed assets move and all other paths and hashes remain unchanged.",Events and organization,I6,Planned-move fixture with scope checks.,Label names planned asset moves; rewrite adds exact-scope and preservation results.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.3 Materialization; parent=CAN-SECTION-0122,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-FOLDER-024,Folders to create,"When a configured library encounters Folders to create during 14.3 Materialization, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.","When an approved operation plan lists folders to create, Lamha must create exactly the listed folders and report typed errors on collision without overwriting existing paths.",ACCEPTANCE_CRITERION,CAN-SECTION-0170,"Given an approved folder-creation plan, when it executes, then the listed folders exist once and collisions return typed errors without overwrite.",Libraries and storage,I4,Folder-creation fixture with collision checks.,Label names planned folder creation; rewrite adds exact scope and collision behavior.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=14.3 Materialization; parent=CAN-SECTION-0170,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
