canonical_id,title,source_text,current_statement,matched_template_family,why_current_statement_may_be_semantically_wrong,current_capability,current_phase,current_package,required_disposition,requirement_type,source_section,parent_requirement_id,parent_title,parent_statement,source_length_category
CAN-LAM-ARCH-108,Profile image,Profile image,"When the 11. People workflow manages Profile image, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-109,Historical memberships,Historical memberships,"When the 11. People workflow manages Historical memberships, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-110,Hidden status,Hidden status,"When the 11. People workflow manages Hidden status, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-111,History,History,"When the 11. People workflow manages History, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ASSET-063,Media links,Media links,"When the 11. People workflow manages Media links, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-EVENT-038,Event links,Event links,"When the 11. People workflow manages Event links, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-040,Stable person ID,Stable person ID,"When the 11. People workflow manages Stable person ID, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary with an identity invariant.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-041,Several face clusters,Several face clusters,"When the 11. People workflow manages Several face clusters, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-043,Group memberships,Group memberships,"When the 11. People workflow manages Group memberships, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-044,Relationship-map node,Relationship-map node,"When the 11. People workflow manages Relationship-map node, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Person-profile field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-045,Friend and classmate,Friend and classmate,"When the 11. People workflow manages Friend and classmate, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship preset label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-046,Friend and colleague,Friend and colleague,"When the 11. People workflow manages Friend and colleague, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship preset label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-047,Family and former classmate,Family and former classmate,"When the 11. People workflow manages Family and former classmate, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship preset label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-048,Teacher and family friend,Teacher and family friend,"When the 11. People workflow manages Teacher and family friend, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship preset label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,11. People,CAN-SECTION-0058,11. People — People and faces,Lamha must implement the 11. People behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-GOV-185,Start and end line,Start and end line,"When Start and end line is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label under the mapping-detail section; constrains evidence provenance.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-187,Current responsibility,Current responsibility,"When Current responsibility is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains ownership evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-188,Callers,Callers,"When Callers is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains caller-migration evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-189,Consumers,Consumers,"When Consumers is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains consumer-replacement evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-190,Imports,Imports,"When Imports is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains import-scan evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-192,Related docs,Related docs,"When Related docs is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains traceability completeness.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-193,Planned action,Planned action,"When Planned action is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains action specificity.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-195,Verification state,Verification state,"When Verification state is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label; constrains verification evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,11. Required Mapping Detail,,,,SHORT
CAN-LAM-GOV-196,"Evidence class (EXTRACTED, INFERRED, AMBIGUOUS)","Evidence class (EXTRACTED, INFERRED, AMBIGUOUS)","When Evidence class (EXTRACTED, INFERRED, AMBIGUOUS) is exercised in 11. Required Mapping Detail, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition SUPERSEDE_DUPLICATE with status SUPERSEDED; rationale: Duplicate tracker-field row; superseded rather than re-expressed.,Planning and verification governance,,,SUPERSEDE_DUPLICATE,DUPLICATE,11. Required Mapping Detail,,,,LONG
CAN-LAM-AI-023,Lamha keeps a complete group model,Lamha keeps a complete group model.,"When the 12. Groups and Subgroups workflow manages Lamha keeps a complete group model, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label names the complete-group-model obligation; rewrite states the model contents and preservation result.,People and faces,I7,WP-I7-001,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-112,Have aliases,Have aliases,"When the 12. Groups and Subgroups workflow manages Have aliases, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-113,Have active members,Have active members,"When the 12. Groups and Subgroups workflow manages Have active members, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-114,Have former members,Have former members,"When the 12. Groups and Subgroups workflow manages Have former members, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-115,Have inactive members,Have inactive members,"When the 12. Groups and Subgroups workflow manages Have inactive members, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-116,Preserve historical membership periods,Preserve historical membership periods,"When the 12. Groups and Subgroups workflow manages Preserve historical membership periods, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_REQUIREMENT with status REVIEWED_CORRECTED; rationale: Label names historical preservation; rewrite adds the append/close rule and queryable result.,People and faces,I7,WP-I7-008,REWRITE_AS_REQUIREMENT,FUNCTIONAL_REQUIREMENT,12. Groups and Subgroups,,,,SHORT
CAN-LAM-EVENT-039,Have event links,Have event links,"When the 12. Groups and Subgroups workflow manages Have event links, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-EVENT-040,Be event-specific,Be event-specific,"When the 12. Groups and Subgroups workflow manages Be event-specific, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-050,Contain subgroups,Contain subgroups,"When the 12. Groups and Subgroups workflow manages Contain subgroups, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Group-model field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12. Groups and Subgroups,CAN-SECTION-0016,12. Groups and Subgroups — People and faces,Lamha must implement the 12. Groups and Subgroups behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-119,Display rules,Display rules:,"When the 12.1 Canonical group name workflow manages Display rules, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Display-rule heading label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,12.1 Canonical group name,CAN-SECTION-0059,12.1 Canonical group name — People and faces,Lamha must implement the 12.1 Canonical group name behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-121,Old names remain aliases by default,Old names remain aliases by default.,"When the 12.1 Canonical group name workflow manages Old names remain aliases by default, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label states the alias-preservation rule; rewrite makes it observable.,People and faces,I7,WP-I7-005,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,12.1 Canonical group name,CAN-SECTION-0059,12.1 Canonical group name — People and faces,Lamha must implement the 12.1 Canonical group name behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-SEARCH-005,Historical or alternate names remain searchable,Historical or alternate names remain searchable.,"When the 12.1 Canonical group name workflow manages Historical or alternate names remain searchable, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label states alternate-name search; rewrite adds the observable search result.,People and faces,I7,WP-I7-007,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,12.1 Canonical group name,CAN-SECTION-0059,12.1 Canonical group name — People and faces,Lamha must implement the 12.1 Canonical group name behavior for People and faces and satisfy every linked acceptance criterion.,LONG
CAN-LAM-EVENT-042,Event count,Event count,"When Event count is requested in 13.1 Nodes, Lamha must produce or update a reviewable event plan, show its membership and filesystem effects, and make no authoritative or filesystem change if validation or confirmation fails.",EXACT_LEGACY_OUTPUT;FAMILY:event_plan_requested,Detected as EXACT_LEGACY_OUTPUT;FAMILY:event_plan_requested; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Node-field label; reclassified as glossary.,Events and organization,I6,,RECLASSIFY_GLOSSARY,GLOSSARY,13.1 Nodes,CAN-SECTION-0160,13.1 Nodes — Events and organization,Lamha must implement the 13.1 Nodes behavior for Events and organization and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-055,Face,Face,"When the 13.1 Nodes workflow manages Face, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Node-field label; reclassified as glossary.,People and faces,I7,,RECLASSIFY_GLOSSARY,GLOSSARY,13.1 Nodes,CAN-SECTION-0220,13.1 Nodes — People and faces,Lamha must implement the 13.1 Nodes behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-056,Primary relationship,Primary relationship,"When the 13.1 Nodes workflow manages Primary relationship, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship-field label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.1 Nodes,CAN-SECTION-0220,13.1 Nodes — People and faces,Lamha must implement the 13.1 Nodes behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-PERSON-057,Additional relationships,Additional relationships,"When the 13.1 Nodes workflow manages Additional relationships, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship-field label; reclassified as glossary.,People and faces,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.1 Nodes,CAN-SECTION-0220,13.1 Nodes — People and faces,Lamha must implement the 13.1 Nodes behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-125,Built-in examples include,Built-in examples include:,"When the 13.2 Relationships workflow manages Built-in examples include, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship-heading label; reclassified as glossary.,Relationships and attribution,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.2 Relationships,CAN-SECTION-0060,13.2 Relationships — People and faces,Lamha must implement the 13.2 Relationships behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-126,Sure,Sure,"When the 13.2 Relationships workflow manages Sure, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Certainty-value label; reclassified as glossary.,Relationships and attribution,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.2 Relationships,CAN-SECTION-0060,13.2 Relationships — People and faces,Lamha must implement the 13.2 Relationships behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-127,Not Sure,Not Sure,"When the 13.2 Relationships workflow manages Not Sure, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Certainty-value label; reclassified as glossary.,Relationships and attribution,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.2 Relationships,CAN-SECTION-0060,13.2 Relationships — People and faces,Lamha must implement the 13.2 Relationships behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-128,Start date,Start date,"When the 13.2 Relationships workflow manages Start date, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship-field label; reclassified as glossary.,Relationships and attribution,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.2 Relationships,CAN-SECTION-0060,13.2 Relationships — People and faces,Lamha must implement the 13.2 Relationships behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-ARCH-129,End date,End date,"When the 13.2 Relationships workflow manages End date, it must persist the candidate or confirmed state with provenance and revision, expose the resulting state for review, and reject invalid transitions without changing an existing identity or historical interval.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition RECLASSIFY_GLOSSARY with status RECLASSIFIED; rationale: Relationship-field label; reclassified as glossary.,Relationships and attribution,I8,,RECLASSIFY_GLOSSARY,GLOSSARY,13.2 Relationships,CAN-SECTION-0060,13.2 Relationships — People and faces,Lamha must implement the 13.2 Relationships behavior for People and faces and satisfy every linked acceptance criterion.,SHORT
